isbn13;titre;auteur;editeur;date;langue;prix
9782844871435;Love Story a Abidjan;Assaley-N;Nei;28 novembre 2002;Français;3.25
9782803605972;Vasco, tome 5 : Les Barons;Gilles Chaillet;Le Lombard;7 juin 1996;Français;2.43
9782355926549;Scumbag loser Vol.3;YAMAGUCHI Mikoto;Ki-oon;20 mars 2014;Français;7.90
9782247028948;ARGENT ET DROIT;Jean Carbonnier,Collectif,Ivar Ekeland;Editions Dalloz - Sirey;12 février 1998;Français;90.00
9782200213923;L'ORIENT ARABE. Arabisme et islamisme de 1798 à 1945;Henry Laurens;Armand Colin;28 février 1997;Français;20.38
9782818502099;Demain, qui gouvernera le monde ?;Jacques Attali;Fayard/Pluriel;25 avril 2012;Français;10.00
9782130478201;Des idées au texte : psychologie cognitive de la production verbale, orale et écrite;Michel Fayol;Presses Universitaires de France - PUF;1 janvier 1997;Français;22.40
9782130468240;Histoire de la population française, tome 4 : De 1914 à nos jours;Jacques Dupâquier,Quadrige;"Presses Universitaires de France - PUF; Nouvelle";1 mai 1995;Français;8.93
9782844273451;Le PC poche pour les Nuls;Dan Gookin;"First Interactive; 8e éd";15 octobre 2002;Français;0.90
9782290333723;Une femme trahie;Barbara Delinsky;J'ai lu;4 juin 2003;Français;3.37
9782290336656;Les Mille et Une Nuits : Sindbad le marin;Les Mille et une nuits,Antoine Galland;J'ai lu;6 octobre 2003;Français;0.89
9782277225294;Le Sixième Jour;Andrée Chedid;Editions 84;Grands caractères, 21 mars 2001;Français;0.01
9782277225348;Le mystere de l'éléphant;Ellery Queen;J'ai lu;26 février 2001;Français;1.19
9782864322986;La Responsabilité de l'écrivain;Jean-Paul Sartre;Verdier;1 novembre 1998;Français;8.11
9782908929379;Solitudes;Daniel Dobbels,Tom Drahos;"joca seria; 1";1 octobre 2002;Français;13.13
9782278018437;Plaisir des sons : Livre de l'élève;Massia Kaneman-Pougatch;"Didier; 01";10 février 2003;Français;18.80
9782742783991;Les larmes d'Ezéchiel;Matthias Lehmann;Actes Sud;24 août 2009;Français;16.80
9782747037372;ETINCELLE BLANCHE (L') - N5;Sophie Lebot,Marie Giudicelli;Bayard Jeunesse;2 février 2012;Français;4.08
9782911618710;Le reveil d'ymir;Nicolas Bouchard;Mnémos Editions;18 septembre 2001;Français;1.20
9782702515099;Assumer à vingt ans ! Témoigner aujourd'hui... Guerre d'Algérie Période 1960 - 1961;André MALICHIER;Lavauzelle;15 février 2010;Français;28.00
9782302008328;La Rose et la Croix, Tome 2 : Maître Dagélius;Luigi Critone,France Richemond,Nicolas Jarry;Soleil Productions;28 octobre 2009;Français;14.50
9782715814578;Que les gros salaires lèvent le doigt;Jean-Marc Roberts;"Balland; Nouvelle";8 juin 2003;Français;2.89
9782871427674;J'aime pas les bisous;Claude-K Dubois,Nadine Monfils;Mijade;13 octobre 2011;Français;7.00
9782200600655;L'autobiographie - 2e éd. - NP;Jacques Lecarme,Éliane Lecarme-Tabone;"Armand Colin; 2e édition";28 janvier 2015;Français;29.00
9782268000817;Le jeu de la carte contre le déclarant;Pierre Jaïs,Michel Lebel;"Editions du Rocher; ROCHER";8 mars 1991;Français;0.89
9782213595719;Je crois en Dieu : Les secrets de la foi;René Laurentin;Fayard;15 novembre 1995;Français;13.90
9782857042983;La Trahison des dieux;Marion Zimmer Bradley;Pygmalion Editions;4 juillet 1997;Français;2.27
9782764104798;Famous Fables Treasury;Adapted By Jane Brierley;Tormont Publications;1998;Anglais;4.90
9782266009966;Le bal des maudits tome 1;Irwin Shaw;"Pocket; Presses Pocket";24 février 2000;Français;2.99
9782200370107;INERTIES REVOLUTIONNAIRE.1730-1840;Léon;Armand Colin;21 janvier 1997;Français;15.95
9782247103942;Procédures collectives (1Cédérom);Alain Lienhard,Fabien Wattremet;"Dalloz-Sirey; édition 2011-2012";23 mars 2011;Français;65.99
9782915018660;Mourir de mère;Michael Lentz,Sophie Andrée Herr;Quidam Editeur;4 novembre 2011;Français;16.00
9782226010865;Le grand tabou;Philippe Baccou,Club de l'horloge;Albin Michel;14 janvier 1981;Français;3.28
